Back to Index, ,,,,,,,
Flat_m004,,,,,,L,R,L/R
1,624.511,106.933,59.48,154.864,-89.014,571.045,25,22.8418
2,445.739,102.181,58.129,142.743,-91.229,407.299,17,23.95876471
3,468.384,105.513,56.929,161.98,-91.461,428.087,16,26.7554375
4,665.033,103.754,51.302,167.386,-90.514,608.103,24,25.337625
5,578.031,101.563,59.019,166.317,-92.726,527.89,22,23.995
,,,,,,,Average,24.57772544
,,,,,,,,
Thread_m006,,,,,,L,R,L/R
1,771.105,148.787,106.249,214.987,-93.372,705.369,23,30.66821739
2,331.325,135.197,92.512,186.062,-93.938,302.023,9,33.55811111
3,493.412,152.287,94.22,211,-89.306,450.906,12,37.5755
4,314.639,141.228,101.597,202.958,-92.395,287.369,11,26.12445455
5,449.314,159.422,122.235,204.814,-86.642,410.093,14,29.29235714
,,,,,,,,31.44372804
,,,,,,,,
Head,,,,,,,,
Flat_m003,,,,,,L,R,L/R
1,432.826,102.992,79.132,157.888,-114.62,483.093,20,24.15465
2,472.029,109.46,83.139,144.695,-115.652,526.883,24,21.95345833
3,421.626,94.392,74.304,127.701,-129.527,470.81,19,24.77947368
4,404.025,100.172,80.25,148.892,-133.634,451.083,19,23.74121053
5,254.415,108.243,83.457,141.533,-147.765,283.395,14,20.2425
,,,,,,,Average,22.97425851
,,,,,,,,
Thread_m002,,,,,,L,R,L/R
1,250.281,102.502,34.213,182.23,-118.282,228.103,18,12.67238889
2,258.624,96.828,26.483,175.656,-122.146,235.954,16,14.747125
3,283.652,97.687,43.812,171.448,-124.695,258.92,19,13.62736842
4,365.887,102.155,38.534,201.362,-125.972,334.539,23,14.54517391
5,225.253,91.912,36.693,159.738,-121.747,205.406,15,13.69373333
,,,,,,,Average,13.85715791
,,,,,,,,
Tip,,,,,,,,
Flat_m001,,,,,,L,R,L/R
1,850.421,88.4,62.642,139.907,-105.987,691.044,17,40.64964706
2,785.584,92.083,60.657,139.888,-106.657,638.299,18,35.46105556
3,968.033,82.572,55.563,128.088,-110.075,787.037,23,34.219
4,1078.105,86.577,59.43,132.048,-112.04,876.984,19,46.15705263
5,592.581,87.604,63.479,124.254,-110.283,481.754,13,37.058
,,,,,,,Average,38.70895105
,,,,,,,,
Thread_m003,,,,,,L,R,L/R
1,719.239,181.921,138.673,248.367,-103.103,584.995,30,19.49983333
2,696.622,175.476,116.39,232.66,-104.819,566.506,26,21.78869231
3,378.468,168.661,122.289,218.01,-106.04,306.644,14,21.90314286
4,214.113,188.151,155,245,-116.928,173.536,7,24.79085714
5,275.935,170.503,126,221.408,-112.91,223.96,13,17.22769231
,,,,,,,Average,21.04204359
